

1港澳新闻,#genre#
凤凰中文 10M720,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225942/1.m3u8
凤凰中文 10M720,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225948/1.m3u8
凤凰中文 10M720,http://183.207.248.170/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰资讯 10M720,http://183.207.249.144/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰香港 10M720,http://183.207.249.207/ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8
CCTV1 576,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226102/1.m3u8
CCTV2 540,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226101/1.m3u8
CCTV4 540,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226103/1.m3u8
CCTV13 576,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226132/1.m3u8
CCTV13 576,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226132/2.m3u8
CCTV13 576,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226132/3.m3
CCTV7 540,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226104/1.m3u8
CCTV11 4M540,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226130/1.m3u8
CCTV12 4M540,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226131/3.m3u8u8




2湖北移动,#genre#
CTV1 8M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226235/index.m3u8
CCTV10 8M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226241/index.m3u8
CCTV14 8M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
CCTV1 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226125/2.m3u8
CCTV5 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV5 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226195/2.m3u8
CCTV5 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226195/3.m3u8
CCTV10 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226129/1.m3u8
CCTV10 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226129/2.m3u8
CCTV10 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226129/3.m3u8
CCTV14 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226134/1.m3u8
CCTV14 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226134/2.m3u8
CCTV14 4M1080,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226134/3.m3u8


2a卫视頻道,#genre#
湖南卫视,http://39.134.168.91/PLTV/1/224/3221225518/index.m3u8
湖南卫视,http://39.134.168.91/PLTV/1/224/3221225516/index.m3u8
东方卫视,http://39.134.168.91/PLTV/1/224/3221225504/index.m3u8
东方卫视,http://39.134.168.91/PLTV/1/224/3221225506/index.m3u8
浙江卫视,http://39.134.168.91/PLTV/1/224/3221225520/index.m3u8
浙江卫视,http://39.134.168.91/PLTV/1/224/3221225522/index.m3u8
江苏卫视,http://39.134.168.91/PLTV/1/224/3221225512/index.m3u8
江苏卫视,http://39.134.168.91/PLTV/1/224/3221225514/index.m3u8
安徽卫视,http://39.134.168.91/PLTV/1/224/3221225548/index.m3u8
北京卫视,http://39.134.168.91/PLTV/1/224/3221225524/index.m3u8
北京卫视,http://39.134.168.91/PLTV/1/224/3221225526/index.m3u8
深圳卫视,http://39.134.168.91/PLTV/1/224/3221225532/index.m3u8
深圳卫视,http://39.134.168.91/PLTV/1/224/3221225534/index.m3u8
天津卫视,http://39.134.168.91/PLTV/1/224/3221225594/index.m3u8
兵团卫视,http://39.134.168.91/PLTV/1/224/3221225634/index.m3u8
东南卫视,http://39.134.168.91/PLTV/1/224/3221225580/index.m3u8
广东卫视,http://39.134.168.91/PLTV/1/224/3221225528/index.m3u8
广东卫视,http://39.134.168.91/PLTV/1/224/3221225530/index.m3u8
湖北卫视,http://39.134.168.91/PLTV/1/224/3221225544/index.m3u8
湖北卫视,http://39.134.168.91/PLTV/1/224/3221225546/index.m3u8
江西卫视,http://39.134.168.91/PLTV/1/224/3221225588/index.m3u8
辽宁卫视,http://39.134.168.91/PLTV/1/224/3221225590/index.m3u8
山东卫视,http://39.134.168.91/PLTV/1/224/3221225540/index.m3u8
山东卫视,http://39.134.168.91/PLTV/1/224/3221225542/index.m3u8
重庆卫视,http://39.134.168.91/PLTV/1/224/3221225576/index.m3u8
龙江卫视,http://39.134.168.91/PLTV/1/224/3221225536/index.m3u8
龙江卫视,http://39.134.168.91/PLTV/1/224/3221225538/index.m3u8
河南卫视,http://39.134.168.91/PLTV/1/224/3221225584/index.m3u8
甘肃卫视,http://39.134.168.91/PLTV/1/224/3221225636/index.m3u8
广西卫视,http://39.134.168.91/PLTV/1/224/3221225598/index.m3u8
贵州卫视 ,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=41&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
河北卫视,http://39.134.168.91/PLTV/1/224/3221225624/index.m3u8
吉林卫视,http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8
山西卫视,http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8
陕西卫视,http://39.134.168.91/PLTV/1/224/3221225628/index.m3u8
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8
厦门卫视,http://39.134.168.91/PLTV/1/224/3221225640/index.m3u8
四川卫视,http://39.134.168.91/PLTV/1/224/3221225592/index.m3u8
云南卫视,http://39.134.168.91/PLTV/1/224/3221225632/index.m3u8
海南卫视,http://39.134.168.91/PLTV/1/224/3221225620/index.m3u8
宁夏卫视,http://39.134.168.91/PLTV/1/224/3221225638/index.m3u8
青海卫视,http://39.134.168.91/PLTV/1/224/3221225622/index.m3u8
内蒙卫视,http://39.134.168.91/PLTV/1/224/3221225626/index.m3u8
西藏卫视,http://39.134.168.91/PLTV/1/224/3221225648/index.m3u8
新疆卫视,http://223.110.247.161:6610/gitv/live1/G_XINJIANG/G_XINJIANG
新疆卫视,http://101.71.255.229:6610/zjhs/2/10050/index.m3u8?virtualDomain=zjhs.live_hls.zte.com

3山东移动,#genre#
CCTV1 5M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225942/index.m3u8
CCTV2 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV4 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV5+ 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225781/index.m3u8
CCTV7 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV9 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV10 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV12 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225763/index.m3u8
